title,release_year,genre,director,cast,runtime,budget,revenue,ratings_imdb,verdict
Hope Rising,2005,"Mystery, Horror",Karan Johar,"Tiger Shroff, Salman Khan, Akshay Kumar",136,105.53,77.2,7.9,0
Revenge Forever,2005,"Drama, Thriller",Rajkumar Hirani,"Ranbir Kapoor, Ranveer Singh, Aamir Khan",112,196.21,209.52,8.8,1
Storm Returns,2005,"Fantasy, Mystery",Zoya Akhtar,"Akshay Kumar, Varun Dhawan, Rajkummar Rao",137,284.69,264.71,7.6,0
Heart Unleashed,2005,"Drama, Mystery",Ayan Mukerji,"Vicky Kaushal, Akshay Kumar, Sidharth Malhotra",180,149.46,404.42,8.8,2
Shadow Awakens,2005,"Romance, Crime",Imtiaz Ali,"Kartik Aaryan, Varun Dhawan, Ranbir Kapoor",137,53.38,186.62,8.0,2
Love Chronicles,2005,"Adventure, Crime",Rajkumar Hirani,"Hrithik Roshan, Ranveer Singh, Akshay Kumar",117,207.14,535.3,7.6,2
Dream Diaries,2005,"Horror, Horror",Farhan Akhtar,"Rajkummar Rao, Salman Khan, Hrithik Roshan",180,101.62,292.03,5.6,2
King Forever,2005,"Fantasy, Action",Imtiaz Ali,"Hrithik Roshan, Kartik Aaryan, Sidharth Malhotra",142,76.34,230.45,6.4,2
Night Rising,2005,"Fantasy, Mystery",Karan Johar,"Shah Rukh Khan, Varun Dhawan, Sidharth Malhotra",142,172.54,409.71,8.7,2
Storm Unleashed,2005,"Thriller, Mystery",Sanjay Leela Bhansali,"Tiger Shroff, Sidharth Malhotra, Ranbir Kapoor",156,61.78,85.4,8.0,1
Revenge Chronicles,2005,"Horror, Drama",Rohit Shetty,"Kartik Aaryan, Salman Khan, Ranveer Singh",93,86.51,204.5,5.6,2
Heart Code,2006,"Mystery, Drama",Ayan Mukerji,"Aamir Khan, Akshay Kumar, Ranveer Singh",99,119.91,176.05,7.8,1
War Rising,2006,"Drama, Crime",Kabir Khan,"Kartik Aaryan, Sidharth Malhotra, Salman Khan",94,284.33,178.74,4.0,0
Shadow Diaries,2006,"Fantasy, Adventure",Karan Johar,"Hrithik Roshan, Vicky Kaushal, Akshay Kumar",125,181.24,598.92,9.4,2
War Diaries,2006,"Thriller, Romance",Imtiaz Ali,"Aamir Khan, Shah Rukh Khan, Ranbir Kapoor",153,171.41,373.71,4.9,2
War Code,2006,"Thriller, Crime",Sanjay Leela Bhansali,"Kartik Aaryan, Tiger Shroff, Varun Dhawan",167,199.66,377.86,8.8,1
Hope Affair,2006,"Horror, Horror",Imtiaz Ali,"Salman Khan, Tiger Shroff, Ayushmann Khurrana",156,27.71,68.74,6.0,2
Heart Code,2006,"Mystery, Crime",Kabir Khan,"Sidharth Malhotra, Tiger Shroff, Kartik Aaryan",160,149.35,483.19,5.9,2
Revenge Returns,2006,"Comedy, Mystery",Rohit Shetty,"Sidharth Malhotra, Varun Dhawan, Ranbir Kapoor",149,194.13,122.01,7.9,0
Heart Returns,2006,"Adventure, Mystery",Sanjay Leela Bhansali,"Akshay Kumar, Tiger Shroff, Ranbir Kapoor",176,226.23,429.16,8.7,1
Heart Awakens,2006,"Comedy, Romance",Anurag Kashyap,"Aamir Khan, Shah Rukh Khan, Rajkummar Rao",146,134.85,228.5,9.0,1
Love Unleashed,2006,"Action, Thriller",Rajkumar Hirani,"Sidharth Malhotra, Tiger Shroff, Varun Dhawan",95,46.13,120.3,9.3,2
Hope Unleashed,2006,"Mystery, Horror",Rohit Shetty,"Aamir Khan, Sidharth Malhotra, Vicky Kaushal",104,229.71,699.96,8.7,2
Love Affair,2006,"Mystery, Crime",Imtiaz Ali,"Kartik Aaryan, Vicky Kaushal, Shah Rukh Khan",102,288.58,945.16,4.9,2
Hope Code,2006,"Drama, Mystery",Ayan Mukerji,"Hrithik Roshan, Ranbir Kapoor, Sidharth Malhotra",117,209.37,370.22,8.5,1
Shadow Rising,2006,"Adventure, Fantasy",Sanjay Leela Bhansali,"Varun Dhawan, Vicky Kaushal, Ayushmann Khurrana",154,242.0,788.96,7.4,2
Dream Rising,2006,"Action, Crime",Rohit Shetty,"Varun Dhawan, Akshay Kumar, Tiger Shroff",163,280.23,144.79,9.2,0
Love Affair,2006,"Romance, Crime",Karan Johar,"Tiger Shroff, Shah Rukh Khan, Sidharth Malhotra",113,274.63,262.43,7.0,0
King Chronicles,2006,"Horror, Crime",S. S. Rajamouli,"Akshay Kumar, Vicky Kaushal, Rajkummar Rao",114,265.69,830.13,9.4,2
Night Saga,2006,"Fantasy, Romance",Rajkumar Hirani,"Ranbir Kapoor, Shah Rukh Khan, Sidharth Malhotra",143,206.41,299.0,4.0,1
Storm Code,2006,"Drama, Mystery",Imtiaz Ali,"Akshay Kumar, Tiger Shroff, Hrithik Roshan",97,18.19,46.67,6.1,2
King Affair,2006,"Adventure, Adventure",Rajkumar Hirani,"Hrithik Roshan, Ranveer Singh, Rajkummar Rao",147,59.32,32.22,6.1,0
Dream Affair,2006,"Drama, Romance",S. S. Rajamouli,"Tiger Shroff, Aamir Khan, Kartik Aaryan",179,110.58,131.69,6.3,1
Hope Code,2006,"Romance, Romance",Sanjay Leela Bhansali,"Kartik Aaryan, Aamir Khan, Hrithik Roshan",160,56.37,57.89,8.0,1
King Unleashed,2006,"Adventure, Adventure",Farhan Akhtar,"Vicky Kaushal, Salman Khan, Ayushmann Khurrana",97,106.71,336.95,6.3,2
Heart Rising,2006,"Action, Horror",Ayan Mukerji,"Vicky Kaushal, Rajkummar Rao, Ayushmann Khurrana",120,166.64,522.44,6.1,2
Love Affair,2006,"Fantasy, Fantasy",Ayan Mukerji,"Kartik Aaryan, Hrithik Roshan, Sidharth Malhotra",148,83.4,112.07,7.0,1
King Awakens,2006,"Mystery, Romance",Kabir Khan,"Shah Rukh Khan, Ranbir Kapoor, Sidharth Malhotra",180,267.33,734.51,5.3,2
Dream Affair,2006,"Horror, Adventure",Karan Johar,"Vicky Kaushal, Tiger Shroff, Sidharth Malhotra",131,78.16,233.49,8.7,2
Storm Awakens,2006,"Romance, Fantasy",Rajkumar Hirani,"Shah Rukh Khan, Ayushmann Khurrana, Salman Khan",154,124.57,104.57,9.2,0
Dream Rising,2006,"Drama, Comedy",Sanjay Leela Bhansali,"Ayushmann Khurrana, Akshay Kumar, Ranveer Singh",148,138.6,303.18,9.4,2
Revenge Chronicles,2006,"Horror, Action",Farhan Akhtar,"Sidharth Malhotra, Salman Khan, Akshay Kumar",169,71.98,125.35,9.5,1
Hope Affair,2006,"Adventure, Fantasy",S. S. Rajamouli,"Shah Rukh Khan, Ayushmann Khurrana, Ranbir Kapoor",116,116.75,236.19,8.8,2
Heart Saga,2006,"Horror, Adventure",Rajkumar Hirani,"Hrithik Roshan, Aamir Khan, Ranbir Kapoor",137,186.92,607.55,6.6,2
War Forever,2006,"Crime, Comedy",Zoya Akhtar,"Tiger Shroff, Sidharth Malhotra, Akshay Kumar",180,107.79,264.56,4.7,2
Hope Rising,2006,"Adventure, Drama",S. S. Rajamouli,"Ranveer Singh, Kartik Aaryan, Ayushmann Khurrana",159,30.68,43.28,6.6,1
Heart Chronicles,2006,"Crime, Fantasy",Rajkumar Hirani,"Aamir Khan, Sidharth Malhotra, Varun Dhawan",93,161.42,213.69,4.2,1
Dream Unleashed,2006,"Horror, Comedy",Ayan Mukerji,"Shah Rukh Khan, Ranbir Kapoor, Ayushmann Khurrana",113,23.63,31.45,8.4,1
Heart Unleashed,2006,"Horror, Thriller",Sanjay Leela Bhansali,"Aamir Khan, Varun Dhawan, Kartik Aaryan",163,278.42,201.1,7.6,0
Hope Diaries,2006,"Action, Mystery",Rajkumar Hirani,"Hrithik Roshan, Tiger Shroff, Sidharth Malhotra",91,218.77,385.87,6.4,1
King Chronicles,2006,"Drama, Crime",Karan Johar,"Rajkummar Rao, Kartik Aaryan, Aamir Khan",105,100.01,118.23,6.8,1
War Diaries,2006,"Horror, Comedy",Karan Johar,"Aamir Khan, Akshay Kumar, Rajkummar Rao",140,44.14,30.14,8.6,0
King Affair,2006,"Action, Action",Imtiaz Ali,"Shah Rukh Khan, Ayushmann Khurrana, Tiger Shroff",105,98.2,260.42,4.1,2
Love Saga,2006,"Crime, Adventure",Karan Johar,"Ranbir Kapoor, Shah Rukh Khan, Aamir Khan",118,97.68,140.33,4.1,1
Storm Forever,2006,"Comedy, Romance",Farhan Akhtar,"Ayushmann Khurrana, Vicky Kaushal, Ranbir Kapoor",179,246.33,610.97,5.7,2
Night Forever,2006,"Action, Mystery",Zoya Akhtar,"Rajkummar Rao, Kartik Aaryan, Salman Khan",170,255.41,772.77,4.3,2
Shadow Diaries,2006,"Thriller, Horror",Farhan Akhtar,"Akshay Kumar, Tiger Shroff, Sidharth Malhotra",113,177.82,387.62,6.8,2
Hope Awakens,2006,"Mystery, Horror",Rajkumar Hirani,"Shah Rukh Khan, Hrithik Roshan, Varun Dhawan",91,41.75,43.48,8.2,1
Love Saga,2006,"Adventure, Horror",Ayan Mukerji,"Shah Rukh Khan, Ranveer Singh, Vicky Kaushal",177,185.7,428.51,8.0,2
Night Returns,2006,"Action, Romance",S. S. Rajamouli,"Salman Khan, Ranbir Kapoor, Tiger Shroff",148,296.55,632.87,4.2,2
Shadow Rising,2006,"Crime, Action",Farhan Akhtar,"Ayushmann Khurrana, Ranveer Singh, Ranbir Kapoor",156,200.03,446.67,7.9,2
War Returns,2006,"Thriller, Comedy",Rajkumar Hirani,"Kartik Aaryan, Ranveer Singh, Akshay Kumar",147,178.41,544.14,8.7,2
Dream Affair,2006,"Fantasy, Fantasy",Kabir Khan,"Tiger Shroff, Hrithik Roshan, Shah Rukh Khan",171,237.68,340.66,8.9,1
Storm Rising,2006,"Drama, Crime",Karan Johar,"Ayushmann Khurrana, Varun Dhawan, Vicky Kaushal",169,209.7,283.54,6.4,1
Shadow Forever,2006,"Horror, Comedy",Anurag Kashyap,"Ranveer Singh, Ayushmann Khurrana, Sidharth Malhotra",135,199.14,650.78,5.5,2
Night Code,2006,"Comedy, Horror",Karan Johar,"Varun Dhawan, Sidharth Malhotra, Ranbir Kapoor",119,135.25,348.6,9.1,2
Love Awakens,2006,"Drama, Mystery",Anurag Kashyap,"Aamir Khan, Hrithik Roshan, Ayushmann Khurrana",153,128.49,68.71,5.3,0
Night Rising,2006,"Mystery, Fantasy",Farhan Akhtar,"Akshay Kumar, Tiger Shroff, Kartik Aaryan",116,123.58,209.99,9.0,1
King Forever,2006,"Action, Crime",Karan Johar,"Ranbir Kapoor, Akshay Kumar, Vicky Kaushal",125,122.56,363.63,8.0,2
Shadow Diaries,2006,"Adventure, Comedy",S. S. Rajamouli,"Varun Dhawan, Akshay Kumar, Kartik Aaryan",124,34.93,74.52,6.5,2
Storm Diaries,2006,"Action, Adventure",S. S. Rajamouli,"Hrithik Roshan, Tiger Shroff, Kartik Aaryan",146,147.1,387.08,4.1,2
Night Forever,2006,"Mystery, Thriller",S. S. Rajamouli,"Ranbir Kapoor, Kartik Aaryan, Ayushmann Khurrana",142,99.45,133.79,7.8,1
King Rising,2006,"Romance, Drama",Rajkumar Hirani,"Varun Dhawan, Rajkummar Rao, Tiger Shroff",150,235.92,718.23,9.4,2
Hope Code,2006,"Mystery, Mystery",S. S. Rajamouli,"Shah Rukh Khan, Aamir Khan, Ranbir Kapoor",169,254.5,660.49,5.0,2
Love Saga,2006,"Horror, Thriller",Zoya Akhtar,"Sidharth Malhotra, Vicky Kaushal, Aamir Khan",111,190.8,590.27,6.5,2
Night Returns,2006,"Action, Drama",Rajkumar Hirani,"Ayushmann Khurrana, Tiger Shroff, Ranbir Kapoor",108,135.84,125.87,9.0,0
Night Affair,2006,"Action, Crime",Imtiaz Ali,"Vicky Kaushal, Aamir Khan, Hrithik Roshan",158,120.19,139.19,8.6,1
Dream Awakens,2006,"Adventure, Crime",Imtiaz Ali,"Tiger Shroff, Aamir Khan, Shah Rukh Khan",129,209.58,282.49,7.2,1
Dream Chronicles,2006,"Crime, Horror",Sanjay Leela Bhansali,"Hrithik Roshan, Varun Dhawan, Sidharth Malhotra",126,249.83,796.63,4.5,2
Love Forever,2006,"Romance, Fantasy",Farhan Akhtar,"Aamir Khan, Shah Rukh Khan, Salman Khan",143,217.6,152.72,8.2,0
Revenge Diaries,2006,"Fantasy, Action",Rajkumar Hirani,"Salman Khan, Ranveer Singh, Shah Rukh Khan",118,276.53,755.58,8.3,2
Heart Chronicles,2006,"Romance, Comedy",Karan Johar,"Rajkummar Rao, Kartik Aaryan, Ayushmann Khurrana",155,177.36,470.68,5.3,2
Night Awakens,2006,"Action, Comedy",Imtiaz Ali,"Sidharth Malhotra, Hrithik Roshan, Varun Dhawan",159,87.29,104.2,8.7,1
Revenge Chronicles,2006,"Fantasy, Mystery",Imtiaz Ali,"Sidharth Malhotra, Akshay Kumar, Varun Dhawan",118,293.86,575.8,6.8,1
King Awakens,2006,"Mystery, Comedy",Rajkumar Hirani,"Ayushmann Khurrana, Sidharth Malhotra, Akshay Kumar",92,148.3,410.25,8.8,2
Heart Returns,2006,"Romance, Fantasy",Rohit Shetty,"Kartik Aaryan, Ayushmann Khurrana, Aamir Khan",163,66.51,56.95,8.3,0
War Code,2006,"Adventure, Thriller",Rohit Shetty,"Vicky Kaushal, Ranveer Singh, Sidharth Malhotra",129,133.58,328.49,8.0,2
Dream Unleashed,2006,"Adventure, Adventure",Rohit Shetty,"Rajkummar Rao, Hrithik Roshan, Sidharth Malhotra",163,185.12,506.41,6.0,2
Hope Returns,2006,"Action, Mystery",S. S. Rajamouli,"Rajkummar Rao, Salman Khan, Varun Dhawan",177,256.19,716.94,7.4,2
War Awakens,2006,"Crime, Crime",Sanjay Leela Bhansali,"Varun Dhawan, Ranbir Kapoor, Ranveer Singh",101,200.94,305.11,9.1,1
Love Code,2006,"Comedy, Fantasy",Sanjay Leela Bhansali,"Hrithik Roshan, Rajkummar Rao, Aamir Khan",170,282.0,796.51,8.8,2
Heart Chronicles,2006,"Thriller, Crime",Zoya Akhtar,"Tiger Shroff, Kartik Aaryan, Akshay Kumar",141,99.04,154.8,7.7,1
Dream Saga,2006,"Thriller, Thriller",Rajkumar Hirani,"Ranveer Singh, Ranbir Kapoor, Shah Rukh Khan",134,193.78,237.96,7.5,1
Heart Awakens,2006,"Action, Adventure",Sanjay Leela Bhansali,"Shah Rukh Khan, Salman Khan, Akshay Kumar",90,103.28,254.31,7.8,2
Heart Returns,2006,"Comedy, Crime",Zoya Akhtar,"Shah Rukh Khan, Salman Khan, Sidharth Malhotra",107,106.09,121.87,7.0,1
Revenge Saga,2006,"Drama, Comedy",Farhan Akhtar,"Akshay Kumar, Ranveer Singh, Aamir Khan",122,211.07,437.31,5.6,2
War Chronicles,2006,"Romance, Action",Rajkumar Hirani,"Shah Rukh Khan, Ranbir Kapoor, Salman Khan",161,196.61,171.69,9.1,0
King Diaries,2006,"Action, Crime",Imtiaz Ali,"Sidharth Malhotra, Shah Rukh Khan, Hrithik Roshan",100,161.05,286.29,4.6,1
Heart Code,2006,"Action, Drama",Sanjay Leela Bhansali,"Ayushmann Khurrana, Shah Rukh Khan, Aamir Khan",174,167.8,233.45,6.5,1
Night Unleashed,2006,"Thriller, Romance",S. S. Rajamouli,"Varun Dhawan, Aamir Khan, Rajkummar Rao",130,262.23,635.34,8.2,2
Heart Code,2006,"Adventure, Horror",Rohit Shetty,"Ranveer Singh, Hrithik Roshan, Ayushmann Khurrana",170,287.98,659.02,8.8,2
Revenge Code,2006,"Adventure, Fantasy",Karan Johar,"Ayushmann Khurrana, Varun Dhawan, Akshay Kumar",172,151.41,439.2,7.3,2
Dream Rising,2006,"Horror, Thriller",Ayan Mukerji,"Ayushmann Khurrana, Aamir Khan, Akshay Kumar",145,85.89,130.42,7.8,1
Love Affair,2006,"Adventure, Romance",Sanjay Leela Bhansali,"Ayushmann Khurrana, Ranveer Singh, Hrithik Roshan",113,132.5,143.43,9.4,1
Night Rising,2006,"Horror, Comedy",Imtiaz Ali,"Varun Dhawan, Akshay Kumar, Aamir Khan",104,171.3,584.02,4.9,2
Heart Forever,2006,"Mystery, Horror",Karan Johar,"Akshay Kumar, Hrithik Roshan, Salman Khan",93,186.88,458.91,4.8,2
Night Rising,2006,"Fantasy, Mystery",Kabir Khan,"Shah Rukh Khan, Salman Khan, Ranbir Kapoor",174,261.94,660.86,7.9,2
Heart Code,2006,"Crime, Action",Imtiaz Ali,"Sidharth Malhotra, Ayushmann Khurrana, Shah Rukh Khan",118,291.29,908.0,6.2,2
Revenge Returns,2006,"Comedy, Thriller",Kabir Khan,"Rajkummar Rao, Kartik Aaryan, Salman Khan",150,279.8,156.47,8.2,0
War Diaries,2006,"Horror, Drama",Imtiaz Ali,"Ranveer Singh, Aamir Khan, Salman Khan",122,82.5,180.05,5.6,2
Love Returns,2006,"Comedy, Thriller",Imtiaz Ali,"Tiger Shroff, Aamir Khan, Ranbir Kapoor",153,30.71,58.68,7.8,1
Hope Saga,2006,"Action, Thriller",Sanjay Leela Bhansali,"Salman Khan, Shah Rukh Khan, Ranbir Kapoor",150,33.9,115.4,7.1,2
Shadow Awakens,2006,"Crime, Mystery",Zoya Akhtar,"Shah Rukh Khan, Varun Dhawan, Vicky Kaushal",169,86.12,74.75,7.5,0
Hope Awakens,2006,"Romance, Drama",Farhan Akhtar,"Hrithik Roshan, Ranveer Singh, Rajkummar Rao",96,259.83,760.28,8.4,2
Storm Awakens,2006,"Crime, Mystery",S. S. Rajamouli,"Ranbir Kapoor, Vicky Kaushal, Tiger Shroff",150,73.13,224.38,7.0,2
Hope Forever,2006,"Crime, Action",Imtiaz Ali,"Ayushmann Khurrana, Vicky Kaushal, Varun Dhawan",116,51.95,170.63,8.0,2
Love Code,2006,"Adventure, Horror",Imtiaz Ali,"Ranbir Kapoor, Ayushmann Khurrana, Varun Dhawan",140,92.96,151.4,4.4,1
King Saga,2006,"Romance, Romance",Karan Johar,"Salman Khan, Hrithik Roshan, Ranveer Singh",149,207.01,443.01,8.1,2
Night Rising,2006,"Crime, Adventure",S. S. Rajamouli,"Varun Dhawan, Ayushmann Khurrana, Sidharth Malhotra",109,262.2,598.2,8.7,2
Hope Code,2006,"Romance, Horror",Karan Johar,"Salman Khan, Aamir Khan, Akshay Kumar",156,82.79,129.53,8.2,1
Dream Forever,2006,"Action, Drama",Rajkumar Hirani,"Vicky Kaushal, Ranveer Singh, Rajkummar Rao",110,250.48,395.61,9.0,1
King Chronicles,2006,"Fantasy, Romance",Farhan Akhtar,"Ranveer Singh, Rajkummar Rao, Sidharth Malhotra",117,48.03,143.02,5.1,2
Shadow Forever,2006,"Romance, Thriller",Anurag Kashyap,"Tiger Shroff, Varun Dhawan, Ranbir Kapoor",91,98.44,82.1,4.8,0
Shadow Diaries,2006,"Drama, Action",Karan Johar,"Hrithik Roshan, Sidharth Malhotra, Akshay Kumar",171,59.37,70.51,5.0,1
Night Rising,2006,"Crime, Thriller",Rajkumar Hirani,"Hrithik Roshan, Rajkummar Rao, Sidharth Malhotra",117,24.59,74.13,6.0,2
Dream Unleashed,2006,"Thriller, Comedy",Zoya Akhtar,"Rajkummar Rao, Shah Rukh Khan, Hrithik Roshan",121,199.82,177.68,7.6,0
Hope Code,2006,"Horror, Comedy",Sanjay Leela Bhansali,"Rajkummar Rao, Shah Rukh Khan, Ranveer Singh",173,122.14,293.78,7.6,2
Hope Rising,2006,"Adventure, Thriller",Anurag Kashyap,"Hrithik Roshan, Vicky Kaushal, Rajkummar Rao",167,164.43,268.2,8.4,1
King Unleashed,2006,"Mystery, Thriller",Rajkumar Hirani,"Shah Rukh Khan, Aamir Khan, Akshay Kumar",171,160.12,96.97,8.4,0
Hope Forever,2006,"Thriller, Horror",Ayan Mukerji,"Hrithik Roshan, Rajkummar Rao, Ayushmann Khurrana",169,10.54,19.79,8.6,1
War Unleashed,2006,"Mystery, Comedy",S. S. Rajamouli,"Tiger Shroff, Sidharth Malhotra, Salman Khan",151,170.45,155.47,7.9,0
Revenge Diaries,2006,"Fantasy, Mystery",Imtiaz Ali,"Hrithik Roshan, Rajkummar Rao, Shah Rukh Khan",102,92.76,250.36,4.2,2
Dream Awakens,2006,"Crime, Thriller",Ayan Mukerji,"Vicky Kaushal, Varun Dhawan, Aamir Khan",96,208.06,179.87,4.0,0
King Awakens,2006,"Fantasy, Adventure",Zoya Akhtar,"Shah Rukh Khan, Vicky Kaushal, Ranveer Singh",119,84.33,93.09,7.6,1
Shadow Affair,2006,"Horror, Drama",S. S. Rajamouli,"Varun Dhawan, Tiger Shroff, Akshay Kumar",102,129.96,90.2,8.3,0
King Awakens,2006,"Mystery, Comedy",Anurag Kashyap,"Salman Khan, Ranbir Kapoor, Ayushmann Khurrana",157,139.05,137.75,4.9,0
Dream Code,2006,"Mystery, Comedy",Ayan Mukerji,"Aamir Khan, Shah Rukh Khan, Sidharth Malhotra",142,189.67,569.88,7.9,2
King Diaries,2006,"Romance, Comedy",S. S. Rajamouli,"Ayushmann Khurrana, Varun Dhawan, Tiger Shroff",174,37.16,44.47,4.3,1
War Returns,2006,"Thriller, Action",Rohit Shetty,"Kartik Aaryan, Varun Dhawan, Ranveer Singh",180,292.4,356.39,7.0,1
Dream Saga,2006,"Fantasy, Romance",Anurag Kashyap,"Salman Khan, Rajkummar Rao, Akshay Kumar",95,89.84,195.27,9.4,2
Dream Forever,2006,"Horror, Romance",Rohit Shetty,"Sidharth Malhotra, Salman Khan, Vicky Kaushal",130,286.57,193.19,5.2,0
Revenge Forever,2006,"Mystery, Drama",Karan Johar,"Hrithik Roshan, Varun Dhawan, Tiger Shroff",141,121.17,127.53,8.1,1
War Code,2006,"Crime, Thriller",Farhan Akhtar,"Akshay Kumar, Salman Khan, Kartik Aaryan",155,276.49,903.51,5.2,2
War Affair,2006,"Action, Action",Farhan Akhtar,"Kartik Aaryan, Akshay Kumar, Hrithik Roshan",137,247.52,362.63,8.4,1
Revenge Diaries,2006,"Mystery, Mystery",Farhan Akhtar,"Shah Rukh Khan, Rajkummar Rao, Kartik Aaryan",179,42.4,80.04,6.6,1
Revenge Diaries,2006,"Drama, Romance",Rajkumar Hirani,"Varun Dhawan, Salman Khan, Tiger Shroff",124,273.27,708.4,6.2,2
Revenge Code,2006,"Thriller, Fantasy",Sanjay Leela Bhansali,"Akshay Kumar, Ayushmann Khurrana, Sidharth Malhotra",111,17.63,38.63,6.5,2
Shadow Affair,2006,"Drama, Drama",Kabir Khan,"Ranbir Kapoor, Sidharth Malhotra, Ayushmann Khurrana",135,39.11,27.94,5.7,0
Hope Saga,2006,"Adventure, Fantasy",Karan Johar,"Ranveer Singh, Rajkummar Rao, Ranbir Kapoor",111,101.52,288.95,6.5,2
Revenge Saga,2006,"Crime, Adventure",Farhan Akhtar,"Hrithik Roshan, Ayushmann Khurrana, Sidharth Malhotra",96,49.55,32.05,4.7,0
Night Rising,2006,"Crime, Drama",Kabir Khan,"Akshay Kumar, Aamir Khan, Ranveer Singh",92,291.84,792.83,5.3,2
Love Affair,2006,"Romance, Drama",Sanjay Leela Bhansali,"Sidharth Malhotra, Salman Khan, Rajkummar Rao",173,21.42,73.85,6.6,2
Revenge Chronicles,2006,"Drama, Romance",Rohit Shetty,"Ranveer Singh, Hrithik Roshan, Rajkummar Rao",140,296.36,896.49,7.3,2
Night Rising,2006,"Comedy, Horror",Rohit Shetty,"Ranbir Kapoor, Hrithik Roshan, Shah Rukh Khan",116,130.8,355.9,8.9,2
Revenge Chronicles,2006,"Crime, Horror",Rajkumar Hirani,"Sidharth Malhotra, Ranbir Kapoor, Aamir Khan",178,55.86,80.14,9.4,1
Storm Forever,2006,"Adventure, Thriller",Karan Johar,"Aamir Khan, Akshay Kumar, Rajkummar Rao",109,290.78,603.78,4.1,2
Storm Affair,2006,"Romance, Thriller",Anurag Kashyap,"Varun Dhawan, Hrithik Roshan, Shah Rukh Khan",126,237.18,494.82,4.3,2
War Saga,2006,"Comedy, Comedy",Anurag Kashyap,"Varun Dhawan, Kartik Aaryan, Hrithik Roshan",93,26.25,39.62,9.2,1
King Rising,2006,"Action, Comedy",Anurag Kashyap,"Salman Khan, Varun Dhawan, Aamir Khan",147,17.68,23.06,6.0,1
Shadow Saga,2006,"Romance, Crime",Rohit Shetty,"Varun Dhawan, Aamir Khan, Tiger Shroff",145,124.84,359.25,4.8,2
Storm Returns,2006,"Romance, Drama",Ayan Mukerji,"Ranveer Singh, Shah Rukh Khan, Vicky Kaushal",116,246.71,748.58,6.7,2
Night Diaries,2006,"Thriller, Comedy",Imtiaz Ali,"Ayushmann Khurrana, Rajkummar Rao, Akshay Kumar",131,63.04,104.95,9.5,1
Hope Affair,2006,"Comedy, Thriller",Rohit Shetty,"Tiger Shroff, Vicky Kaushal, Aamir Khan",101,107.87,359.8,5.3,2
Hope Affair,2006,"Crime, Crime",Rohit Shetty,"Akshay Kumar, Vicky Kaushal, Salman Khan",128,59.21,118.74,6.2,2
Storm Forever,2006,"Horror, Adventure",Kabir Khan,"Kartik Aaryan, Aamir Khan, Ayushmann Khurrana",146,108.62,376.83,4.2,2
Love Returns,2006,"Thriller, Mystery",Anurag Kashyap,"Ranveer Singh, Kartik Aaryan, Tiger Shroff",90,114.6,239.45,8.4,2
Night Forever,2006,"Romance, Crime",Farhan Akhtar,"Sidharth Malhotra, Hrithik Roshan, Aamir Khan",164,203.55,603.64,8.9,2
Love Awakens,2006,"Thriller, Crime",Anurag Kashyap,"Ranbir Kapoor, Tiger Shroff, Sidharth Malhotra",98,247.99,197.36,5.7,0
Revenge Forever,2006,"Mystery, Thriller",Kabir Khan,"Rajkummar Rao, Kartik Aaryan, Ranbir Kapoor",154,66.17,54.05,9.1,0
Night Saga,2006,"Crime, Thriller",Zoya Akhtar,"Aamir Khan, Vicky Kaushal, Ranbir Kapoor",116,31.41,80.65,5.6,2
Heart Rising,2006,"Drama, Action",Farhan Akhtar,"Sidharth Malhotra, Aamir Khan, Tiger Shroff",116,60.55,154.52,5.6,2
Love Diaries,2006,"Drama, Crime",Zoya Akhtar,"Aamir Khan, Tiger Shroff, Shah Rukh Khan",94,223.39,118.45,8.7,0
King Chronicles,2006,"Comedy, Comedy",Rohit Shetty,"Ranbir Kapoor, Ranveer Singh, Sidharth Malhotra",102,239.54,476.99,6.7,1
Heart Code,2006,"Action, Adventure",S. S. Rajamouli,"Kartik Aaryan, Hrithik Roshan, Ranbir Kapoor",121,127.43,261.65,7.2,2
War Unleashed,2006,"Thriller, Comedy",Ayan Mukerji,"Varun Dhawan, Sidharth Malhotra, Kartik Aaryan",159,274.41,414.4,6.8,1
Love Rising,2006,"Adventure, Drama",Rajkumar Hirani,"Ranveer Singh, Hrithik Roshan, Ayushmann Khurrana",109,168.55,127.69,5.9,0
Dream Unleashed,2006,"Crime, Mystery",Karan Johar,"Tiger Shroff, Shah Rukh Khan, Ayushmann Khurrana",107,72.17,123.47,4.7,1
King Rising,2006,"Fantasy, Thriller",Kabir Khan,"Tiger Shroff, Ranveer Singh, Kartik Aaryan",129,139.2,382.68,5.1,2
War Returns,2006,"Adventure, Fantasy",Farhan Akhtar,"Kartik Aaryan, Ayushmann Khurrana, Shah Rukh Khan",157,175.21,604.93,4.6,2
Love Diaries,2006,"Drama, Thriller",Farhan Akhtar,"Vicky Kaushal, Kartik Aaryan, Aamir Khan",178,276.43,505.35,4.9,1
Night Forever,2006,"Action, Adventure",Ayan Mukerji,"Aamir Khan, Ayushmann Khurrana, Ranveer Singh",176,41.91,145.92,8.9,2
Hope Awakens,2006,"Fantasy, Fantasy",Kabir Khan,"Salman Khan, Tiger Shroff, Ranveer Singh",113,204.29,156.35,6.0,0
King Saga,2006,"Adventure, Comedy",Anurag Kashyap,"Varun Dhawan, Shah Rukh Khan, Kartik Aaryan",140,287.32,256.21,5.7,0
